ID,Parcel ID,Address,County,State,Sale Date,Sale Price,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,lat,long
16,15036A000064,3432 POPLAR SPRINGS RD,Hall County,GA,3/31/2022,"$135,000.00 ",Residential,1959,1007,$134.06 ,34.2200186,-83.8468665
17,08118 002013,5904 MITCHELL ST,Hall County,GA,3/31/2022,"$618,400.00 ",Residential,2021,3286,$188.19 ,34.1833124,-83.9292469
18,08015B000031,2909 SW FLORENCE DR,Hall County,GA,3/31/2022,"$186,000.00 ",Residential,1997,984,$189.02 ,34.2756339,-83.872551
19,08111 003291,5946 SCREECH OWL DR,Hall County,GA,3/30/2022,"$374,900.00 ",Residential,2021,2539,$147.66 ,34.1920536,-83.925355
20,01043 001063,760 NW HILLSIDE DR,Hall County,GA,3/30/2022,"$330,000.00 ",Residential,1950,1652,$199.76 ,34.3054177,-83.8390367
21,01104 002042,347 NE HUDSON CHASE CT,Hall County,GA,3/30/2022,"$554,081.00 ",Residential,2021,2537,$218.40 ,34.30618855,-83.83906545
22,1.50E+36,2836 LEGISLATIVE LN,Hall County,GA,3/30/2022,"$530,000.00 ",Residential,2002,2658,$199.40 ,34.1131557,-83.8775547
23,00143 001112,1792 BISCAYNE BLVD,Hall County,GA,3/30/2022,"$120,000.00 ",Residential,1980,1040,$115.38 ,34.2962459,-83.797866
24,12047 000055,4427 BAREFOOT RUN,Hall County,GA,3/30/2022,"$338,900.00 ",Residential,2021,2712,$124.96 ,34.4121057,-83.790254
25,15047C000104,7219 WHITEWATER DR,Hall County,GA,3/30/2022,"$488,174.00 ",Residential,2021,2868,$170.21 ,34.145214,-83.902144
26,10099 000025,3964 PETES DR,Hall County,GA,3/30/2022,"$150,000.00 ",Residential,1983,1554,$96.53 ,34.375109,-83.8864974
27,15043F000175,5688 DEEP CREEK CT,Hall County,GA,3/30/2022,"$406,000.00 ",Residential,2021,2285,$177.68 ,34.1613373,-83.8878716
28,15047Q000019,6527 CROSSCREEK LN,Hall County,GA,2/1/2022,"$372,900.00 ",Residential,2019,2059,$181.11 ,34.1548163,-83.9010679
29,15047Q000019,6527 CROSSCREEK LN,Hall County,GA,3/30/2022,"$428,000.00 ",Residential,2019,2059,$207.87 ,34.1548163,-83.9010679
30,08139 006117,5957 WILLIAMSPORT DR,Hall County,GA,3/30/2022,"$367,000.00 ",Residential,1994,1920,$191.15 ,34.1696986,-83.9437244
31,08065 000210,5017 WATCHMANS CV,Hall County,GA,3/30/2022,"$465,000.00 ",Residential,2020,2120,$219.34 ,34.2385811,-83.9102557
32,15021D000086,2754 OCONEE DR,Hall County,GA,3/30/2022,"$123,900.00 ",Residential,2005,1300,$95.31 ,34.3278465,-83.7647075
33,08111 003201,5820 SCREECH OWL DR,Hall County,GA,3/30/2022,"$334,990.00 ",Residential,2021,2136,$156.83 ,34.1922135,-83.9285865
34,08134A000011,6179 COMPASS DR,Hall County,GA,3/30/2022,"$350,000.00 ",Residential,1998,2598,$134.72 ,34.1637003,-83.9335905
35,01130 003012,860 SW AIRPORT DR,Hall County,GA,3/29/2022,"$425,000.00 ",Residential,1945,672,$632.44 ,34.2828909,-83.8344067
36,00133 008005,1275 ATLANTA HWY,Hall County,GA,3/29/2022,"$425,000.00 ",Residential,1940,780,$544.87 ,34.2730539,-83.8395442
37,08032 000022C,3608 PLEASANT HILL RD,Hall County,GA,3/29/2022,"$226,900.00 ",Residential,1973,1050,$216.10 ,34.2629665,-83.8840135
38,08111 003271,5995 SCREECH OWL DR,Hall County,GA,3/29/2022,"$414,340.00 ",Residential,2021,2792,$148.40 ,34.1907028,-83.9255235
39,08111 003280,6000 SCREECH OWL DR,Hall County,GA,3/29/2022,"$409,990.00 ",Residential,2021,2613,$156.90 ,34.1904162,-83.9258545
40,00126 001013,314 ATLANTA HWY,Hall County,GA,3/29/2022,"$425,000.00 ",Residential,1942,978,$434.56 ,34.283642,-83.8392438
41,01097 003018,2505 NW TERRACE VW,Hall County,GA,3/29/2022,"$235,000.00 ",Residential,2008,1315,$178.71 ,34.3365868,-83.847087
42,01130 003011,1222 SW SWANN DR,Hall County,GA,3/29/2022,"$125,000.00 ",Residential,1945,1008,$124.01 ,34.2828942,-83.8346863
43,01130 003011,1222 SW SWANN DR,Hall County,GA,3/29/2022,"$136,000.00 ",Residential,1945,1008,$134.92 ,34.2828942,-83.8346863
44,01130 003011,1222 SW SWANN DR,Hall County,GA,3/29/2022,"$425,000.00 ",Residential,1945,1008,$421.63 ,34.2828942,-83.8346863
45,15042 000458,7067 LANCASTER XING,Hall County,GA,3/29/2022,"$519,694.00 ",Residential,2021,3140,$165.51 ,34.1393507,-83.8924107
46,08042A000203,5059 TIMBER HILLS DR,Hall County,GA,3/29/2022,"$247,250.00 ",Residential,2005,1370,$180.47 ,34.2443968,-83.8908544
47,08111 003283,5988 SCREECH OWL DR,Hall County,GA,3/29/2022,"$408,990.00 ",Residential,2021,2792,$146.49 ,34.1908773,-83.9259702
48,11081 000008,5922 ELLAND HEIGHTS RD,Hall County,GA,3/29/2022,"$240,000.00 ",Residential,2018,1904,$0.00 ,34.4300568,-83.9033092
49,08151 002085,5388 SUMMER OAK LN,Hall County,GA,3/29/2022,"$551,535.00 ",Residential,2021,3700,$149.06 ,34.1527182,-83.9514382
50,01081 003019,636 NE CRUDUP DR,Hall County,GA,3/29/2022,"$350,000.00 ",Residential,1966,1701,$205.76 ,34.314858,-83.8113819
51,15041 000280,5977 ROLLINGWOOD WAY,Hall County,GA,3/28/2022,"$429,160.00 ",Residential,2021,1545,$277.77 ,34.1085619,-83.8563951
52,15039 000447,5986 CHIMNEY ROCK DR,Hall County,GA,3/28/2022,"$428,000.00 ",Residential,2007,1852,$231.10 ,34.1167889,-83.8427653
53,01083 001160,1107 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2066,"$1,586.64 ",34.3198489,-83.8165087
54,01083 001164,1123 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2066,"$1,586.64 ",34.3198489,-83.8165087
55,01083 001165,1127 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2059,"$1,592.03 ",34.3198489,-83.8165087
56,01083 001168,1139 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2059,"$1,592.03 ",34.3198489,-83.8165087
57,01083 001169,1143 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2503,"$1,309.63 ",34.3199701,-83.8165668
58,01083 001170,1147 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2066,"$1,586.64 ",34.3198489,-83.8165087
59,09120 000013,1719 COVE PT,Hall County,GA,3/28/2022,"$1,225,000.00 ",Residential,1986,3476,$352.42 ,34.3371342,-83.8000178
60,12114 000048,7609 FERN LN,Hall County,GA,3/28/2022,"$432,500.00 ",Residential,2018,1960,$220.66 ,34.4562998,-83.7296124
61,01083 001161,1111 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2077,"$1,578.24 ",34.3198489,-83.8165087
62,01083 001166,1131 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2066,"$1,586.64 ",34.3198489,-83.8165087
63,15043F000177,5683 DEEP CREEK CT,Hall County,GA,3/28/2022,"$368,900.00 ",Residential,2021,2510,$146.97 ,34.1619386,-83.887704
64,01083 001162,1115 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2059,"$1,592.03 ",34.3198489,-83.8165087
65,01083 001163,1119 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2503,"$1,309.63 ",34.3198489,-83.8165087
66,01083 001167,1135 NE SPRING MARSH CT,Hall County,GA,3/28/2022,"$3,278,000.00 ",Residential,2021,2077,"$1,578.24 ",34.3198489,-83.8165087
67,08138A002007,6228 BROOKRIDGE DR,Hall County,GA,3/28/2022,"$620,000.00 ",Residential,2013,4721,$131.33 ,34.162911,-83.9412842
68,1.50E+95,4779 COUNTRYSIDE DR,Hall County,GA,3/28/2022,"$315,333.00 ",Residential,1989,1779,$177.25 ,34.1801864,-83.8343549
69,08054 004028,4977 FAWNWOOD DR,Hall County,GA,3/25/2022,"$358,455.00 ",Residential,2021,665,$539.03 ,32.63876035,-82.8768023
70,08111 003278,6008 SCREECH OWL DR,Hall County,GA,3/25/2022,"$378,990.00 ",Residential,2021,2792,$135.74 ,34.19027,-83.9255235
71,12047 000110,4346 YONAH PARK,Hall County,GA,3/25/2022,"$414,000.00 ",Residential,2017,2696,$153.56 ,34.4076628,-83.7899725
72,11060 000136,4510 SEMINOLE DR,Hall County,GA,3/25/2022,"$350,000.00 ",Residential,1977,1415,$247.35 ,34.3970318,-83.8844689
73,08100 001144,5827 PARK PT,Hall County,GA,3/25/2022,"$475,000.00 ",Residential,2019,2813,$168.86 ,34.2116771,-83.9266069
74,08137B000082,6140 SADDLEHORSE DR,Hall County,GA,3/25/2022,"$390,000.00 ",Residential,2001,2391,$163.11 ,34.1595537,-83.934666
75,08055 001004,4913 ODELL DR,Hall County,GA,3/25/2022,"$500,000.00 ",Residential,1974,1440,$347.22 ,34.2499948,-83.9005712
76,01097A000006B,2506 NW HIDDEN COVE CT,Hall County,GA,3/25/2022,"$249,000.00 ",Residential,1982,1256,$198.25 ,34.3352332,-83.8497455
77,08062 001038,4982 PONDEROSA DR,Hall County,GA,3/25/2022,"$233,000.00 ",Residential,1983,960,$242.71 ,34.2588834,-83.9271784
78,08026 000153,2696 SW CREEK MILL LN,Hall County,GA,3/25/2022,"$215,000.00 ",Residential,2005,1512,$142.20 ,34.243592,-83.855679
79,10097 000149,3925 NW CAMDEN CT,Hall County,GA,3/24/2022,"$410,900.00 ",Residential,2021,2634,$156.00 ,34.3548308,-83.8809084
80,08134 000013,6172 WADE ORR RD,Hall County,GA,3/24/2022,"$565,000.00 ",Residential,2021,3310,$170.69 ,34.1612369,-83.9321055
81,15041 000354,5874 MAPLE BLUFF WAY,Hall County,GA,3/24/2022,"$659,428.00 ",Residential,2021,1948,$338.52 ,34.1107933,-83.8549633
82,1.50E+29,4585 SUMMERSET DR,Hall County,GA,3/24/2022,"$370,000.00 ",Residential,2000,1958,$188.97 ,34.1940872,-83.8134482
83,15048A000040,6182 LOLLIS CREEK RD,Hall County,GA,3/24/2022,"$70,000.00 ",Residential,1983,2220,$31.53 ,34.1335038,-83.899164
84,15048A000040,6182 LOLLIS CREEK RD,Hall County,GA,3/24/2022,"$160,000.00 ",Residential,1983,2220,$72.07 ,34.1335038,-83.899164
85,08021 001043,3112 SW WHITE MAGNOLIA CHSE,Hall County,GA,3/24/2022,"$558,000.00 ",Residential,2010,2029,$275.01 ,34.2827659,-83.8830613
86,12046 000026,4474 HIGHLAND GATE PKWY,Hall County,GA,3/23/2022,"$357,900.00 ",Residential,2021,2712,$131.97 ,34.4143121,-83.7908997
87,15042 000461,7055 LANCASTER XING,Hall County,GA,3/23/2022,"$493,013.00 ",Residential,2021,3184,$154.84 ,34.138652,-83.8920859
88,1.50E+118,7626 LEGACY RD,Hall County,GA,2/23/2022,"$460,000.00 ",Residential,2011,2840,$161.97 ,34.1395257,-83.9070689
89,08024 006188,4437 SW CHESTNUT OAK WAY,Hall County,GA,3/23/2022,"$404,555.00 ",Residential,2021,2358,$171.57 ,34.2515219,-83.8693013
90,15041 000363,5633 WILLOW SPRINGS PL,Hall County,GA,3/23/2022,"$611,072.00 ",Residential,2021,2424,$252.09 ,34.112019,-83.8520593
91,08111 003275,6020 SCREECH OWL DR,Hall County,GA,3/23/2022,"$367,990.00 ",Residential,2021,2496,$147.43 ,34.1902021,-83.9250271
92,10011 000090,6113 GRANT FORD RD,Hall County,GA,3/22/2022,"$410,000.00 ",Residential,1980,1883,$217.74 ,34.3874064,-83.9710692
93,10105 004004,3617 GARDEN BLVD,Hall County,GA,3/22/2022,"$225,000.00 ",Residential,1959,816,$275.74 ,34.3678202,-83.8689378
94,10082 000005,4042 LEDAN EXT,Hall County,GA,3/21/2022,"$268,000.00 ",Residential,1959,1504,$178.19 ,34.3570348,-83.8970633
95,08110 000061,6322 SPRING COVE DR,Hall County,GA,3/21/2022,"$461,000.00 ",Residential,2015,2614,$176.36 ,34.2008497,-83.938182
96,15022I000016,3241 ROSE PETAL ST,Hall County,GA,3/21/2022,"$260,000.00 ",Residential,2002,1368,$190.06 ,34.2813156,-83.7564939
97,15047 000935,6825 BIG SKY DR,Hall County,GA,3/21/2022,"$392,500.00 ",Residential,2016,1763,$222.63 ,34.1525547,-83.8999918
98,08112 009032,4860 CLARKSTONE DR,Hall County,GA,3/18/2022,"$300,000.00 ",Residential,2016,1895,$158.31 ,34.1877268,-83.9187382
99,08086 000001,5654 NAGS HEAD CIR,Hall County,GA,3/18/2022,"$767,000.00 ",Residential,1969,518,"$1,480.69 ",34.242826,-83.9348315
100,01037 001024A,1185 NE PARK ST,Hall County,GA,3/18/2022,"$344,900.00 ",Residential,1940,1804,$191.19 ,34.3092069,-83.8173582
101,15021D000078,3150 OLD CORNELIA HWY,Hall County,GA,3/18/2022,"$200,000.00 ",Residential,1946,2168,$92.25 ,34.3262832,-83.7526771
102,08113 001073,5642 ELWOOD CIR,Hall County,GA,3/18/2022,"$330,000.00 ",Residential,2013,1999,$165.08 ,34.1766555,-83.9206828
103,12042 000014,5633 COTTAGE LN,Hall County,GA,3/18/2022,"$60,000.00 ",Residential,1996,1034,$58.03 ,34.4589762,-83.7935191
104,08032 000007Q,3942 GREENVIEW DR,Hall County,GA,3/18/2022,"$285,000.00 ",Residential,1964,1275,$223.53 ,34.2580554,-83.8869942
105,10032 000004,5118 COOL SPRINGS RD,Hall County,GA,3/17/2022,"$240,000.00 ",Residential,1940,792,$303.03 ,34.3776421,-83.9411704
106,09079A000047,6236 RIVER PLANTATION DR,Hall County,GA,3/17/2022,"$260,000.00 ",Residential,2000,1170,$222.22 ,34.4029342,-83.6944419
107,08040 001009,4500 TRAVIS DR,Hall County,GA,3/17/2022,"$860,000.00 ",Residential,1966,1380,$623.19 ,34.2608892,-83.903965
108,09119 000027,1701 COUNTRY WAY,Hall County,GA,3/17/2022,"$310,000.00 ",Residential,1977,1595,$194.36 ,34.3388691,-83.8005774
109,08100 001170,6030 PARK BAY CT,Hall County,GA,3/17/2022,"$399,800.00 ",Residential,2021,3115,$128.35 ,34.2125432,-83.9232725
110,10132 000076,5208 JANICE CIR,Hall County,GA,3/17/2022,"$288,000.00 ",Residential,1993,1740,$165.52 ,34.382013,-83.8265442
111,15047G000084,7040 BLACKBIRD CT,Hall County,GA,3/17/2022,"$398,485.00 ",Residential,2021,2535,$157.19 ,34.156182,-83.915699
112,08026 000048,2760 SW VALLEY GREEN DR,Hall County,GA,3/16/2022,"$231,000.00 ",Residential,2004,1400,$165.00 ,34.2431488,-83.8546021
113,12047 000070,4530 HIGHLAND GATE PKWY,Hall County,GA,3/16/2022,"$424,900.00 ",Residential,2008,2964,$143.35 ,34.4109279,-83.7921405
114,15015D000016,3309 FOREST BROOK XING,Hall County,GA,3/16/2022,"$80,000.00 ",Residential,1989,960,$83.33 ,34.2625866,-83.7334236
115,15044H000093,4283 FALCON CREST DR,Hall County,GA,3/16/2022,"$77,120.00 ",Residential,1992,1094,$70.49 ,34.1970462,-83.878093
116,00133 004011,205 KEITH CIR,Hall County,GA,3/16/2022,"$110,000.00 ",Residential,1950,780,$141.03 ,34.2733316,-83.8431381
117,15047G000083,7044 BLACKBIRD CT,Hall County,GA,3/16/2022,"$383,485.00 ",Residential,2021,1860,$206.17 ,34.15608,-83.915576
118,15044L000045,3767 CHESAPEAKE TRACE LN,Hall County,GA,1/14/2022,"$270,000.00 ",Residential,2000,1030,$262.14 ,34.2062122,-83.8666644
119,15044L000045,3767 CHESAPEAKE TRACE LN,Hall County,GA,3/16/2022,"$325,000.00 ",Residential,2000,1030,$315.53 ,34.2062122,-83.8666644
120,08041 002054,4279 RED FOX TRL,Hall County,GA,3/16/2022,"$435,000.00 ",Residential,1979,2198,$197.91 ,34.2607535,-83.8942798
121,01084 001040,2703 NE LIMESTONE CREEK DR,Hall County,GA,3/15/2022,"$475,000.00 ",Residential,2021,1550,$306.45 ,34.3251114,-83.8086323
122,08031 004229,4518 SW HIDDEN CREEK DR,Hall County,GA,3/15/2022,"$385,000.00 ",Residential,2016,1807,$213.06 ,34.2537399,-83.8780723
123,10075 000017,4433 SARDIS DR,Hall County,GA,3/14/2022,"$235,000.00 ",Residential,1981,1072,$219.22 ,34.375743,-83.902682
124,08024 006114,4644 sw SILVER OAK DR,Hall County,GA,3/15/2022,"$493,122.00 ",Residential,2021,2358,$209.13 ,34.2525826,-83.8693357
125,01074 003012A,215 NW CHRISTOPHER DR,Hall County,GA,3/15/2022,"$325,000.00 ",Residential,1978,1760,$184.66 ,34.3173011,-83.8329876
126,08112 009019,4833 CLARKSTONE CIR,Hall County,GA,3/15/2022,"$409,900.00 ",Residential,2017,2192,$187.00 ,34.187665,-83.9183658
127,10098 000022,3840 WOODLANE CIR,Hall County,GA,3/15/2022,"$340,000.00 ",Residential,1977,2199,$154.62 ,34.3673212,-83.8827715
128,01040 004016D,506 NW BRADFORD ST,Hall County,GA,3/15/2022,"$300,000.00 ",Residential,1981,1547,$193.92 ,34.3045394,-83.8299524
129,08023C000028,2956 SW WILLOW RIDGE CIR,Hall County,GA,3/15/2022,"$230,000.00 ",Residential,1995,1335,$172.28 ,34.2672845,-83.8717579
130,15047C000103,7215 WHITEWATER DR,Hall County,GA,3/14/2022,"$690,000.00 ",Residential,2019,3250,$212.31 ,34.1450598,-83.9021122
131,01071 001017,574 NW DIXON DR,Hall County,GA,3/14/2022,"$300,000.00 ",Residential,1949,2068,$145.07 ,34.3089701,-83.8357636
132,11158A000020,8048 BEACHWOOD DR,Hall County,GA,3/14/2022,"$550,000.00 ",Residential,1983,1496,$367.65 ,34.4159387,-83.98197
133,15042 000629,6836 BENJAMIN DR,Hall County,GA,3/14/2022,"$457,720.00 ",Residential,2021,3068,$149.19 ,34.1426755,-83.888072
134,08134A000030,6391 MAGNETIC PT,Hall County,GA,3/14/2022,"$375,000.00 ",Residential,1999,2098,$178.74 ,34.1665066,-83.9325563
135,01081 004010,1505 NE ROBINHOOD TRL,Hall County,GA,3/14/2022,"$380,500.00 ",Residential,1965,1468,$259.20 ,34.3140688,-83.8117281
136,08042A000085,4719 POPLAR RIDGE CT,Hall County,GA,3/14/2022,"$260,000.00 ",Residential,2001,1420,$183.10 ,34.241494,-83.88894
137,11155 000037,7918 SOUTH BARKERS BEND DR,Hall County,GA,3/14/2022,"$800,000.00 ",Residential,1962,2016,$396.83 ,34.4084386,-83.9738888
138,08042A000510,4552 RUTLEDGE DR,Hall County,GA,3/11/2022,"$290,000.00 ",Residential,2019,1602,$181.02 ,34.242335,-83.892725
139,08034 000276,4006 SW LAVENDER PT,Hall County,GA,3/11/2022,"$475,000.00 ",Residential,2016,1854,$256.20 ,34.2750564,-83.8940728
140,15047M000014,7142 LAKE EDGE DR,Hall County,GA,3/11/2022,"$556,000.00 ",Residential,2019,3113,$178.61 ,34.1514182,-83.9023923
141,08077 004080,5432 STONE TRCE,Hall County,GA,3/11/2022,"$303,000.00 ",Residential,1987,1680,$180.36 ,34.2345225,-83.9217586
142,12040 000016,5921 BENT TREE WAY,Hall County,GA,3/11/2022,"$446,200.00 ",Residential,2018,2665,$167.43 ,34.4764269,-83.7980596
143,10145 000114,3463 BIG VIEW RD,Hall County,GA,3/11/2022,"$984,732.00 ",Residential,2021,2188,$450.06 ,34.37502,-83.8098996
144,00084 005005,107 RIVERBEND CIR,Hall County,GA,3/11/2022,"$180,425.00 ",Residential,1950,1450,$124.43 ,34.3313605,-83.8152926
145,00125 003007A,1032 AIRPORT DR,Hall County,GA,3/11/2022,"$122,500.00 ",Residential,1939,864,$141.78 ,34.2857297,-83.8360536
146,01041 001053,769 NW OAK SHIRE CT,Hall County,GA,3/11/2022,"$461,900.00 ",Residential,2001,3063,$150.80 ,34.3078478,-83.8314959
147,08015 006008,2690 TIPTON DR,Hall County,GA,3/11/2022,"$247,000.00 ",Residential,1962,1480,$166.89 ,34.2809645,-83.8729587
148,08075 002095A,5396 BARBERRY AVE,Hall County,GA,1/13/2022,"$312,990.00 ",Residential,2021,2060,$151.94 ,34.2204959,-83.9076069
149,15037L000022,4438 WOODGLENN DR,Hall County,GA,3/11/2022,"$370,000.00 ",Residential,1994,1575,$234.92 ,34.1907363,-83.8229596
150,09079A000025,6326 RIVER PLANTATION DR,Hall County,GA,3/11/2022,"$285,000.00 ",Residential,2002,1893,$150.55 ,34.4046433,-83.6949403
151,15048 001251,3507 CREEK HOLW,Hall County,GA,3/11/2022,"$555,000.00 ",Residential,2021,2833,$195.91 ,34.1142747,-83.9085309
152,08075 006004,5330 MCEVER RD,Hall County,GA,3/11/2022,"$500,000.00 ",Residential,1973,4232,$118.15 ,34.223712,-83.9070275
153,10158 000107,3303 LITTLE CIR,Hall County,GA,3/11/2022,"$300,000.00 ",Residential,1972,1796,$167.04 ,34.3598725,-83.7879735
154,11109A000025,5272 OLD HICKORY PL,Hall County,GA,3/11/2022,"$172,500.00 ",Residential,1997,1296,$0.00 ,34.3998977,-83.9377244
155,15044 000285,4745 CARDINAL RIDGE WAY,Hall County,GA,3/11/2022,"$770,000.00 ",Residential,2007,3513,$219.19 ,34.1802086,-83.883703
156,15025 000067,3415 YOUNG DR,Hall County,GA,3/11/2022,"$180,000.00 ",Residential,2004,720,$250.00 ,34.1922331,-83.7652468
157,08138A002035,6346 BROOKRIDGE DR,Hall County,GA,3/11/2022,"$466,000.00 ",Residential,2014,2529,$184.26 ,34.1608983,-83.9423657
158,10074 000077,4603 ENFIELD DR,Hall County,GA,3/11/2022,"$375,000.00 ",Residential,2003,1584,$236.74 ,34.3639782,-83.9084346
159,08024 006111,4656 SW SILVER OAK DR,Hall County,GA,3/11/2022,"$573,214.00 ",Residential,2021,3540,$161.92 ,34.2521742,-83.8690791
160,08065 000344,5142 WATCHMANS CV,Hall County,GA,3/11/2022,"$433,240.00 ",Residential,2021,2744,$157.89 ,34.2425523,-83.9100899
161,12056 000001BB,5891 CLEVELAND HWY,Hall County,GA,3/11/2022,"$75,000.00 ",Residential,1996,0,$0.00 ,34.466989,-83.780976
162,08008 000246,2454 SW CANARY CT,Hall County,GA,3/10/2022,"$305,000.00 ",Residential,2004,1732,$176.10 ,34.2672188,-83.847985
163,15041 000361,5625 WILLOW SPRINGS PL,Hall County,GA,3/10/2022,"$561,177.00 ",Residential,2021,2776,$202.15 ,34.1123484,-83.8522254
164,08026 000139,2664 SW CREEK MILL LN,Hall County,GA,3/10/2022,"$600,000.00 ",Residential,2020,1580,$379.75 ,34.242787,-83.855086
165,08026 000144,2674 SW CREEK MILL LN,Hall County,GA,3/10/2022,"$600,000.00 ",Residential,2020,1568,$382.65 ,34.243009,-83.8552648
166,15043F000135,5468 MULBERRY PRESERVE DR,Hall County,GA,3/10/2022,"$420,000.00 ",Residential,2006,2750,$152.73 ,34.1582052,-83.8882361
167,1.50E+10,3427 WILD PLUM WAY,Hall County,GA,1/6/2022,"$311,300.00 ",Residential,1998,1555,$200.19 ,34.1191874,-83.9117865
168,1.50E+10,3427 WILD PLUM WAY,Hall County,GA,3/10/2022,"$357,000.00 ",Residential,1998,1555,$229.58 ,34.1191874,-83.9117865
169,15039 000254,6126 BENDCREEK LN,Hall County,GA,3/10/2022,"$495,000.00 ",Residential,2006,3346,$147.94 ,34.1236063,-83.8344792
170,15043D000064,5320 PARKSIDE TRL,Hall County,GA,3/10/2022,"$465,000.00 ",Residential,1997,2033,$228.73 ,34.1569971,-83.8787554
171,08026 000136,2658 SW CREEK MILL LN,Hall County,GA,3/10/2022,"$600,000.00 ",Residential,2020,1568,$382.65 ,34.2426678,-83.8549918
172,08026 000137,2660 SW CREEK MILL LN,Hall County,GA,3/10/2022,"$600,000.00 ",Residential,2020,1580,$379.75 ,34.242696,-83.855011
173,08026 000141,2668 SW CREEK MILL LN,Hall County,GA,3/10/2022,"$600,000.00 ",Residential,2020,1580,$379.75 ,34.242874,-83.8551613
174,15042 000473,6979 LANCASTER XING,Hall County,GA,3/10/2022,"$545,980.00 ",Residential,2021,2740,$199.26 ,34.1400411,-83.8900222
175,09113A001221,2917 LAKE HOLLOW RD,Hall County,GA,3/10/2022,"$355,000.00 ",Residential,2002,1682,$211.06 ,34.3436534,-83.7841586
176,08012 009047,4338 SW PEARHAVEN LN,Hall County,GA,3/10/2022,"$360,000.00 ",Residential,2014,1840,$195.65 ,34.2511692,-83.8660019
177,01025 002004,661 NW BLUERIDGE AVE,Hall County,GA,2/7/2022,"$299,900.00 ",Residential,1947,1480,$202.64 ,34.3031103,-83.8352664
178,08026 000138,2662 SW CREEK MILL LN,Hall County,GA,3/10/2022,"$600,000.00 ",Residential,2020,1568,$382.65 ,34.242739,-83.855053
