fid,field_1,Unnamed_ 0,Parcel ID,Address,Sale Date,Sale Price,Qualified,Reason,Acres,Parcel  Cl,Year  Buil,Square Ft,Price Per,lat,long,GEOID
"48","1085","1085",08054 004030,4985 FAWNWOOD DR,1/28/2022,"$275,000.00",Qualified,FM,0.09,Residential,"2021","1370",$200.73,34.24902018,-83.89856288,"131390014022"
"49","1124","1124",08065 000291,5143 WATCHMANS CV,1/26/2022,"$392,780.00",Qualified,FM,0.16,Residential,"2021","2159",$181.93,34.2424512,-83.9106692,"131390014022"
"50","1154","1154",08065 000073,5222 MAPLEWOOD LN,1/21/2022,"$400,000.00",Qualified,FM,0.59,Residential,"2001","3483",$114.84,34.2404171,-83.9167521,"131390014022"
"51","1180","1180",08054 004034,5001 FAWNWOOD DR,1/20/2022,"$337,360.00",Qualified,FM,0.09,Residential,"2021","1921",$175.62,34.24855425,-83.8982291,"131390014022"
"52","1184","1184",08042B000145,4757 SW AUTUMN ROSE TRL,1/20/2022,"$255,000.00",Qualified,FM,0.03,Residential,"2006","1248",$204.33,34.2494842,-83.8937831,"131390014022"
"53","1242","1242",08065 000281,5103 WATCHMANS CV,1/14/2022,"$427,500.00",Qualified,FM,0.16,Residential,"2021","2939",$145.46,34.2412402,-83.9098002,"131390014022"
"54","1243","1243",08042B000026,4429 SW PLUM FROST CT,1/14/2022,"$267,000.00",Qualified,FM,0.03,Residential,"2005","1472",$181.39,34.2462485,-83.8939486,"131390014022"
"55","1316","1316",08065 000285,5119 WATCHMANS CV,1/7/2022,"$434,920.00",Qualified,FM,0.16,Residential,"2021","2865",$151.80,34.2417325,-83.9101313,"131390014022"
"56","1","1",08118 001125,5970 WATERSDOWN WAY,7/28/2022,"$418,900.00",Qualified,FM,0.11,Residential,"2016","2651",$158.02,34.1850509,-83.9320186,"131390015011"
"57","6","6",08111 003379,6011 HOOT OWL LN,7/11/2022,"$365,990.00",Qualified,FM,0.11,Residential,"2022","2360",$155.08,34.1936829,-83.9274183,"131390015011"
"58","53","53",08111 003368,5965 HOOT OWL LN,5/20/2022,"$358,990.00",Qualified,FM,0.11,Residential,"2022","2424",$148.10,34.1936829,-83.9274183,"131390015011"
"59","75","75",08111 003369,5969 HOOT OWL LN,4/29/2022,"$370,000.00",Qualified,FM,0.11,Residential,"2021","2360",$156.78,34.1936829,-83.9274183,"131390015011"
"60","101","101",08118 002012,5908 MITCHELL ST,4/15/2022,"$609,500.00",Qualified,FM,0.32,Residential,"2021","3146",$193.74,34.1832875,-83.9296192,"131390015011"
"61","154","154",08118 001128,5958 WATERSDOWN WAY,4/8/2022,"$420,000.00",Qualified,FM,0.11,Residential,"2016","2660",$157.89,34.1854282,-83.9317704,"131390015011"
"62","254","254",08111 003291,5946 SCREECH OWL DR,3/30/2022,"$374,900.00",Qualified,FM,0.26,Residential,"2021","2539",$147.66,34.1920536,-83.925355,"131390015011"
"63","267","267",08118B000076,6414 SILVERTIDE WAY,3/30/2022,"$299,000.00",Qualified,FM,0.11,Residential,"2002","1956",$152.86,34.1825128,-83.9327145,"131390015011"
"64","268","268",08111 003201,5820 SCREECH OWL DR,3/30/2022,"$334,990.00",Qualified,FM,0.12,Residential,"2021","2136",$156.83,34.1923278,-83.9286263,"131390015011"
"65","279","279",08111 003271,5995 SCREECH OWL DR,3/29/2022,"$414,340.00",Qualified,FM,0.23,Residential,"2021","2792",$148.40,34.1907028,-83.9255235,"131390015011"
"66","280","280",08111 003280,6000 SCREECH OWL DR,3/29/2022,"$409,990.00",Qualified,FM,0.2,Residential,"2021","2613",$156.90,34.1904162,-83.9258545,"131390015011"
"67","295","295",08111 003283,5988 SCREECH OWL DR,3/29/2022,"$408,990.00",Qualified,FM,0.22,Residential,"2021","2792",$146.49,34.1908773,-83.9259702,"131390015011"
"68","312","312",08111 003279,6004 SCREECH OWL DR,3/28/2022,"$372,990.00",Qualified,FM,0.2,Residential,"2021","2430",$153.49,34.1903214,-83.925689,"131390015011"
"69","325","325",08111 003278,6008 SCREECH OWL DR,3/25/2022,"$378,990.00",Qualified,FM,0.16,Residential,"2021","2792",$135.74,34.19027,-83.9255235,"131390015011"
"70","330","330",08111 003277,6012 SCREECH OWL DR,3/25/2022,"$380,000.00",Qualified,FM,0.14,Residential,"2021","2539",$149.67,34.1903016,-83.9253523,"131390015011"
"71","345","345",08112 019008,5510 CHESTNUT ST,3/25/2022,"$485,000.00",Qualified,FM,0.16,Residential,"2008","2428",$199.75,34.1871272,-83.9260436,"131390015011"
"72","385","385",08111 003275,6020 SCREECH OWL DR,3/23/2022,"$367,990.00",Qualified,FM,0.14,Residential,"2021","2496",$147.43,34.1902021,-83.9250271,"131390015011"
"73","387","387",08118 002013,5904 MITCHELL ST,3/23/2022,"$608,800.00",Qualified,FM,0.32,Residential,"2021","3286",$185.27,34.1833124,-83.9292469,"131390015011"
"74","393","393",08099 000060,5180 PARKWOOD DR,3/22/2022,"$405,500.00",Qualified,FM,0.1,Residential,"2021","2548",$159.14,34.1989093,-83.9190692,"131390015011"
"75","418","418",08119 000046,6110 JAMESTOWN DR,3/21/2022,"$385,000.00",Unqualified,"99",0.53,Residential,"1992","2201",$174.92,34.1941717,-83.9352865,"131390015011"
"76","419","419",08119 000046,6110 JAMESTOWN DR,3/21/2022,"$385,000.00",Qualified,FM,0.53,Residential,"1992","2201",$174.92,34.1941717,-83.9352865,"131390015011"
"77","498","498",08118B000052,6309 SHOREVIEW CIR,3/14/2022,"$257,000.00",Qualified,FM,0.11,Residential,"2003","1464",$175.55,34.183047,-83.9340138,"131390015011"
"78","560","560",08111 003281,5996 SCREECH OWL DR,3/9/2022,"$398,990.00",Qualified,FM,0.17,Residential,"2021","2613",$152.69,34.1906106,-83.9258819,"131390015011"
"79","629","629",08118B000007,6222 SHOREVIEW CIR,3/2/2022,"$255,000.00",Qualified,FM,0.04,Residential,"2004","1548",$164.73,34.1832,-83.935438,"131390015011"
"80","676","676",08099 000030,5121 PARKWOOD DR,2/28/2022,"$413,000.00",Qualified,FM,0.14,Residential,"2020","2484",$166.26,34.1979608,-83.9208897,"131390015011"
"81","754","754",08111 003290,5960 SCREECH OWL DR,2/24/2022,"$398,990.00",Qualified,FM,0.15,Residential,"2021","2613",$152.69,34.1917354,-83.9253994,"131390015011"
"82","825","825",08111 003292,5928 SCREECH OWL DR,2/18/2022,"$363,990.00",Qualified,FM,0.14,Residential,"2021","2613",$139.30,34.1921536,-83.9255252,"131390015011"
"83","830","830",08112 012003,5210 CHATTAHOOCHEE ST,2/18/2022,"$210,000.00",Qualified,FM,0.44,Residential,"1964","1308",$160.55,34.1900089,-83.9235273,"131390015011"
"84","832","832",08111 003282,5992 SCREECH OWL DR,2/18/2022,"$407,990.00",Qualified,FM,0.19,Residential,"2021","2872",$142.06,34.1907368,-83.9259312,"131390015011"
"85","857","857",08111 003065,5628 WILD OLIVE DR,2/16/2022,"$410,000.00",Qualified,FM,0.14,Residential,"2020","2850",$143.86,34.1963214,-83.9297433,"131390015011"
"86","912","912",08118 003005,5909 GAINESVILLE ST,1/7/2022,"$125,000.00",Qualified,FM,0.28,Residential,"1954","904",$138.27,34.1841945,-83.9293607,"131390015011"
"87","913","913",08118 003005,5909 GAINESVILLE ST,2/11/2022,"$170,000.00",Qualified,FM,0.28,Residential,"1954","904",$188.05,34.1841945,-83.9293607,"131390015011"
"88","929","929",08118B000120,6571 ABOVE TIDE PL,2/10/2022,"$778,764.00",Unqualified,"51",0.11,Residential,"2001","2088",$372.97,34.183396,-83.9329489,"131390015011"
"89","934","934",08099 000092,5106 PARK HAVEN DR,2/10/2022,"$425,000.00",Qualified,FM,0.2,Residential,"2020","2702",$157.29,34.1969572,-83.9207242,"131390015011"
"90","960","960",08118 006002B,5912 CHURCH ST,2/7/2022,"$343,100.00",Qualified,FM,0.36,Residential,"2018","1312",$261.51,34.1812135,-83.9305707,"131390015011"
"91","983","983",08112 012007,5216 CHATTAHOOCHEE ST,2/4/2022,"$215,000.00",Qualified,FM,0.4,Residential,"1982","1152",$186.63,34.1897389,-83.9235376,"131390015011"
"92","1012","1012",08118B000013,6239 SHOREVIEW CIR,2/1/2022,"$258,000.00",Qualified,FM,0.11,Residential,"2001","1506",$171.31,34.1830128,-83.9350825,"131390015011"
"93","1041","1041",08118 005001A,5811 TANNER ST,1/31/2022,"$330,000.00",Qualified,FM,0.2,Residential,"1957","1175",$280.85,34.1829064,-83.9289159,"131390015011"
"94","1052","1052",08111 003269,5975 SCREECH OWL DR,1/28/2022,"$363,990.00",Qualified,FM,0.16,Residential,"2021","2884",$126.21,34.1911189,-83.9254306,"131390015011"
"95","1088","1088",08112 028008,6023 MORROW DR,1/28/2022,"$224,860.00",Qualified,FM,0.17,Residential,"1987","1591",$141.33,34.1904824,-83.9306948,"131390015011"
"96","1110","1110",08111 003284,5984 SCREECH OWL DR,1/27/2022,"$359,990.00",Qualified,FM,0.19,Residential,"2021","2539",$141.78,34.1909822,-83.9258269,"131390015011"
"97","1142","1142",08118 001175,6052 HARBOUR MIST DR,1/24/2022,"$370,000.00",Qualified,FM,0.1,Residential,"2017","2216",$166.97,34.1841198,-83.9306948,"131390015011"
"98","1214","1214",08111 003270,5979 SCREECH OWL DR,1/18/2022,"$357,990.00",Qualified,FM,0.14,Residential,"2021","2613",$137.00,34.1909604,-83.9254822,"131390015011"
"99","1218","1218",08112 019005,5505 GAINESVILLE ST,1/14/2022,"$424,000.00",Qualified,FM,0.37,Residential,"2002","1652",$256.66,34.1878438,-83.926351,"131390015011"
"100","1277","1277",08118 007009,6140 JONES RD,1/11/2022,"$220,000.00",Qualified,FM,0.3,Residential,"1985","1728",$127.31,34.181192,-83.9327632,"131390015011"
"101","1289","1289",08112 026001,5627 CHURCH ST,1/10/2022,"$1,100,000.00",Qualified,FM,0.32,Residential,"2004","1034",$191.10,34.1840182,-83.9268888,"131390015011"
"102","464","464",15044H000093,4283 FALCON CREST DR,3/16/2022,"$77,120.00",Qualified,FM,0.61,Residential,"1992","1094",$70.49,34.1970462,-83.878093,"131390014043"
"103","589","589",15044M000028,4973 HOLLAND VIEW DR,3/7/2022,"$455,000.00",Qualified,FM,0.58,Residential,"2001","2542",$178.99,34.1961122,-83.8741181,"131390014043"
"104","868","868",15044J000033,1021 BRIDLE CREEK DR,2/15/2022,"$1,188,400.00",Unqualified,"51",0.19,Residential,"1999","960","$1,237.92",34.2047983,-83.8782172,"131390014043"
"105","985","985",15044H000064,4153 BURGUNDY WAY,2/4/2022,"$301,000.00",Qualified,FM,0.58,Residential,"1991","1070",$281.31,34.1993925,-83.8713438,"131390014043"
"106","1160","1160",15044A003012,4006 WARREN RD,1/21/2022,"$237,500.00",Qualified,FM,0.45,Residential,"1989","1120",$212.05,34.2051716,-83.8813638,"131390014043"
"107","93","93",08116 000003,5086 HOG MOUNTAIN RD,4/18/2022,"$175,000.00",Unqualified,"5",1.29,Residential,"1950","480",$364.58,34.1693171,-83.9202277,"131390016061"
"108","269","269",08134A000011,6179 COMPASS DR,3/30/2022,"$350,000.00",Qualified,FM,0.37,Residential,"1998","2598",$134.72,34.1637003,-83.9335905,"131390016061"
"109","270","270",08139 006117,5957 WILLIAMSPORT DR,3/30/2022,"$367,000.00",Qualified,FM,0.56,Residential,"1994","1920",$191.15,34.1696986,-83.9437244,"131390016061"
"110","441","441",08113 001073,5642 ELWOOD CIR,3/18/2022,"$330,000.00",Qualified,FM,0.12,Residential,"2013","1999",$165.08,34.1766555,-83.9206828,"131390016061"
"111","492","492",08134A000030,6391 MAGNETIC PT,3/14/2022,"$375,000.00",Qualified,FM,0.37,Residential,"1999","2098",$178.74,34.1665066,-83.9325563,"131390016061"
"112","552","552",08113 001018,5830 BRIDGEPORT CT,3/9/2022,"$335,000.00",Qualified,FM,0.28,Residential,"2005","2110",$158.77,34.1751054,-83.9208483,"131390016061"
"113","642","642",08114 002006,4756 HOLLAND DAM RD,3/1/2022,"$310,000.00",Qualified,FM,0.87,Residential,"1969","1476",$210.03,34.1733544,-83.916959,"131390016061"
"114","793","793",08139 006082,6241 SWEETGUM TRL,2/22/2022,"$325,000.00",Qualified,FM,0.38,Residential,"1973","1843",$176.34,34.1692932,-83.9460405,"131390016061"
"115","817","817",08134A000143,6335 POLAR CIR,2/18/2022,"$339,000.00",Qualified,FM,0.34,Residential,"2000","1876",$180.70,34.1668598,-83.930943,"131390016061"
"116","872","872",08134A000146,6317 COMPASS DR,2/15/2022,"$340,000.00",Qualified,FM,0.39,Residential,"2000","2188",$155.39,34.1663035,-83.9301984,"131390016061"
"117","1084","1084",08133 003012,5766 ATLANTA HWY,1/28/2022,"$225,000.00",Qualified,FM,0.74,Residential,"1964","1683",$133.69,34.1736322,-83.9348315,"131390016061"
"118","1138","1138",08113 001054,5840 BRADSHAW CT,1/25/2022,"$275,000.00",Qualified,FM,0.22,Residential,"2012","1538",$178.80,34.1763797,-83.9194829,"131390016061"
"119","1169","1169",08133 003022,5930 CLIPPER BAY,1/21/2022,"$307,500.00",Qualified,FM,0.59,Residential,"1996","1802",$170.64,34.1693561,-83.9402915,"131390016061"
"120","1182","1182",08116 000030,6443 BEARING DR,1/20/2022,"$410,000.00",Qualified,FM,0.39,Residential,"2002","2442",$167.90,34.1704872,-83.9281299,"131390016061"
"121","17","17",08131 008001,6516 WILDWOOD TRL,6/29/2022,"$1,285,000.00",Qualified,FM,0.48,Residential,"2018","3102",$414.25,34.1842336,-83.9508433,"131390015022"
"122","19","19",08140 000143,6439 DEEP WOOD CT,6/28/2022,"$455,000.00",Qualified,FM,0.61,Residential,"2000","2661",$170.99,34.176891,-83.9543943,"131390015022"
"123","37","37",08140 000042,6235 SPRING LAKE DR,6/2/2022,"$455,000.00",Qualified,FM,0.33,Residential,"1994","2851",$159.59,34.1729164,-83.9545597,"131390015022"
"124","100","100",08140 000068,6318 SPRING LAKE DR,4/15/2022,"$438,500.00",Qualified,FM,0.39,Residential,"1997","2722",$161.09,34.1762769,-83.9507138,"131390015022"
"125","180","180",08140 000057,6279 CLEAR SPRING LN,4/5/2022,"$402,000.00",Qualified,FM,0.8,Residential,"1997","2405",$167.15,34.1741679,-83.9509619,"131390015022"
"126","566","566",08150A000036,6709 THORNWOOD CT,3/8/2022,"$421,500.00",Qualified,FM,0.59,Residential,"1994","2267",$185.93,34.163578,-83.9627469,"131390015022"
"127","645","645",08148A003003,6500 GAINES FERRY RD,3/1/2022,"$199,000.00",Qualified,FM,0.15,Residential,"1973","1680",$118.45,34.1772121,-83.9723799,"131390015022"
"128","661","661",08161A000015,6486 MILLSTONE COVE DR,2/28/2022,"$435,000.00",Qualified,FM,1.5,Residential,"2004","2900",$150.00,34.1706923,-83.9714084,"131390015022"
"129","727","727",08140 000123,6316 CHESTNUT HILL RD,2/25/2022,"$425,000.00",Qualified,FM,0.66,Residential,"2000","2448",$173.61,34.174463,-83.9569581,"131390015022"
"130","837","837",08139 005001,6511 BELL FRK,2/18/2022,"$25,000.00",Qualified,FM,1.03,Residential,"1963","792",$31.57,34.1695636,-83.9524093,"131390015022"
"131","855","855",08141 002006,6431 SAMOA WAY,2/16/2022,"$260,000.00",Qualified,FM,0.28,Residential,"1974","1144",$227.27,34.1821115,-83.9522853,"131390015022"
"132","920","920",08150A000023,6651 LAKE RUN DR,2/10/2022,"$495,000.00",Qualified,FM,0.65,Residential,"1993","2536",$195.19,34.1650581,-83.9629123,"131390015022"
"133","977","977",08150A000035,6713 THORNWOOD CT,2/4/2022,"$443,000.00",Qualified,FM,0.63,Residential,"1993","2443",$181.33,34.1638746,-83.963057,"131390015022"
"134","1025","1025",08141 003015,6448 PARADISE POINT RD,1/31/2022,"$229,500.00",Qualified,FM,0.34,Residential,"1966","1144",$200.61,34.1830129,-83.9547665,"131390015022"
"135","1190","1190",08148A007008,6500 GAINES FERRY RD,1/19/2022,"$210,000.00",Qualified,FM,0.15,Residential,"1973","1610",$130.43,34.1775527,-83.9718218,"131390015022"
"136","1251","1251",08132 000071,6263 OAK LEAF DR,1/13/2022,"$291,000.00",Qualified,FM,0.38,Residential,"1987","1142",$254.82,34.1804926,-83.9466609,"131390015022"
"137","1337","1337",08149 000102,6509 VISTA GLN,1/6/2022,"$412,000.00",Qualified,FM,0.59,Residential,"1998","2848",$144.66,34.1682196,-83.9585294,"131390015022"
"138","1345","1345",08161A000022,6467 MILLSTONE COVE DR,1/5/2022,"$487,000.00",Qualified,FM,0.95,Residential,"2004","2719",$179.11,34.1710566,-83.9695687,"131390015022"
"139","1346","1346",08161A000022,6467 MILLSTONE COVE DR,1/5/2022,"$487,000.00",Unqualified,"99",0.95,Residential,"2004","2719",$179.11,34.1710566,-83.9695687,"131390015022"
"140","381","381",08156 002019,3550 NORTH BOGAN RD,3/23/2022,"$625,000.00",Qualified,FM,1.11,Residential,"1996","2500",$250.00,34.1305661,-83.9474881,"131390016073"
"141","386","386",08154 000012,4256 RIDGE RD,3/23/2022,"$250,000.00",Qualified,FM,1.52,Residential,"1945","1288",$194.10,34.1273508,-83.9367343,"131390016073"
"142","686","686",08137A000069,6047 DEVONSHIRE DR,2/28/2022,"$400,000.00",Qualified,FM,0.59,Residential,"1997","2382",$167.93,34.1503874,-83.9287918,"131390016073"
"143","881","881",08137A000053,6001 DEVONSHIRE DR,2/15/2022,"$366,400.00",Qualified,FM,0.47,Residential,"1999","1592",$230.15,34.14755,-83.9335905,"131390016073"
"144","1020","1020",08135A000009,5382 VALLEY FOREST WAY,1/31/2022,"$380,500.00",Qualified,FM,0.59,Residential,"2000","2341",$162.54,34.1573654,-83.9271784,"131390016073"
"145","1065","1065",08171 002073,4873 STONE WAY PATH,1/28/2022,"$651,000.00",Qualified,FM,0.23,Residential,"2021","3465",$187.88,34.1335555,-83.9554281,"131390016073"
"146","1112","1112",08155A000076,4404 CHATUGE DR,1/26/2022,"$600,000.00",Qualified,FM,0.59,Residential,"1999","3229",$185.82,34.130783,-83.9435383,"131390016073"
"147","1225","1225",08155 000022,3529 NORTH BOGAN RD,1/14/2022,"$850,000.00",Qualified,FM,2.15,Residential,"2002","3190",$266.46,34.1287139,-83.9476948,"131390016073"
"148","1313","1313",08156 002038,3635 BOGAN SPRINGS DR,1/7/2022,"$900,000.00",Qualified,FM,0.8,Residential,"2015","3413",$263.70,34.1309531,-83.9487494,"131390016073"
"149","77","77",08169 001019,109 SLATE DR,4/29/2022,"$970,000.00",Qualified,FM,0.35,Residential,"2014","4784",$202.76,34.1436921,-83.9713016,"131390016071"
"150","750","750",08169 003112,119 HOLIDAY RD,2/24/2022,"$265,000.00",Qualified,FM,0.18,Residential,"2004","1566",$169.22,34.1463137,-83.9704989,"131390016071"
"151","1359","1359",08169 001035,175 SLATE DR,1/3/2022,"$1,030,000.00",Qualified,FM,0.35,Residential,"2007","4437",$232.14,34.1424756,-83.9734754,"131390016071"
"152","29","29",08158 003104,3815 MISTY LEAF DR,5/9/2022,"$430,000.00",Qualified,FM,0.41,Residential,"2016","3302",$130.22,34.1550118,-83.9589222,"131390016072"
"153","30","30",08158 003104,3815 MISTY LEAF DR,6/10/2022,"$650,000.00",Qualified,FM,0.41,Residential,"2016","3302",$196.85,34.1550118,-83.9589222,"131390016072"
